Month,Day,Time,load,Solar,Wind,Stored,BattIn,BattOut
10,280,19,26.00251980348648,0.0,50.5,3.8456620057767568,0.0,0.0
10,280,20,24.06325745523142,0.0,50.5,3.845662005776756,0.0,0.0
10,280,21,21.59225234642821,0.0,50.5,3.8456620057767554,0.0,0.0
10,280,22,19.255601089555434,0.0,50.5,3.845662005776755,0.0,0.0
10,280,23,18.331311144596857,0.0,50.5,3.845662005776754,0.0,0.0
10,281,0,17.887182819126558,0.0,50.5,3.8456620057767537,0.0,0.0
10,281,1,17.39415787294894,0.0,50.5,3.845662005776753,0.0,0.0
10,281,2,17.163624687672982,0.0,48.813599999999994,3.8456620057767537,19.125320275964256,0.0
10,281,3,17.44901476801045,0.0,3.8146,22.97098228174101,0.0,14.574467950839606
10,281,4,18.883475434969824,0.0,15.718000000000004,8.396514330901399,0.0,3.38372574555833
10,281,5,20.927881497033425,0.0,19.377599999999997,5.0127885853430705,0.0,1.6571688904686577
10,281,6,22.28450705305642,35.618887685910316,50.5,3.3556196948744126,0.0,0.0
10,281,7,22.826796143561044,113.51045948810427,50.5,3.3556196948744135,0.0,0.0
10,281,8,23.231583462436113,191.54072569595175,50.0597,3.3556196948744135,0.0,0.0
10,281,9,23.627454338711612,254.1583823057625,50.5,3.3556196948744135,0.0,0.0
10,281,10,23.741722225861288,295.47730764505525,50.5,3.355619694874414,0.0,0.0
10,281,11,23.711041993260622,311.22352681339834,50.5,3.355619694874413,9.648005064597825,0.0
10,281,12,23.807125450879276,300.25891918772817,50.3334,13.00362475947224,0.0,0.0
10,281,13,23.676095290813922,263.65404628765424,13.735499999999998,13.00362475947224,0.0,0.0
10,281,14,23.563041829538022,204.90467483604036,36.1615,13.003624759472242,0.0,0.0
10,281,15,23.667402558243733,81.24448503249927,41.313500000000005,13.003624759472238,0.0,0.0
10,281,16,23.980181137892423,43.22213047358924,50.5,13.003624759472242,0.0,0.0
10,281,17,25.066756729878282,0.0,50.5,13.003624759472244,0.0,0.0
10,281,18,25.494202678871968,0.0,37.1436,13.003624759472242,0.0,0.0
10,281,19,24.410982737326805,0.0,48.494099999999996,13.003624759472244,0.0,0.0
10,281,20,22.61296131404951,0.0,48.23649999999999,13.003624759472245,0.0,0.0
10,281,21,20.31927836210548,0.0,50.5,13.003624759472245,0.0,0.0
10,281,22,18.66451125407037,0.0,38.02910000000001,13.003624759472247,0.0,0.0
10,281,23,17.333196889942926,0.0,37.6749,13.003624759472245,0.0,0.0
10,282,0,16.507978529424012,0.0,37.1919,13.003624759472247,0.0,0.0
10,282,1,16.08999231881553,0.0,20.872800000000005,13.003624759472247,0.0,0.0
10,282,2,16.402866774191097,0.0,23.544000000000004,13.003624759472247,7.14113322580891,0.0
10,282,3,16.726351476674395,0.0,16.773599999999995,20.14475798528116,0.0472485233255968,0.0
10,282,4,17.79558954138331,0.0,13.299999999999997,20.192006508606756,0.0,4.805547345145176
10,282,5,20.62785438905939,0.0,9.328,15.386459163461573,0.0,12.078946434056007
10,282,6,22.39823164442046,21.096272801261787,9.328,3.3075127294055666,0.0,0.0
10,282,7,22.859266056396752,110.72178089107936,7.446999999999999,3.3075127294055666,0.0,0.0
10,282,8,23.127398505896345,185.22352297413755,5.781999999999999,3.307512729405566,0.0,0.0
10,282,9,23.377266629425847,246.15236346895344,4.557100000000001,3.3075127294055657,0.0,0.0
10,282,10,23.442765730170713,287.31075070707374,3.7497999999999996,3.3075127294055657,0.0,0.0
10,282,11,23.325797343380668,303.66026490428305,2.1186000000000003,3.3075127294055657,0.0,0.0
